year,volume,issue
2019,565,7738
2019,565,7737
2018,564,7736
2018,564,7735
2018,564,7734
2018,563,7733
2018,563,7732
2018,563,7731
2018,563,7730
2018,563,7729
2018,562,7728
2018,562,7727
2018,562,7726
2018,562,7725
2018,561,7724
2018,561,7723
2018,561,7722
2018,561,7721
2018,560,7720
2018,560,7719
2018,560,7718
2018,560,7717
2018,560,7716
2018,559,7715
2018,559,7714
2018,559,7713
2018,559,7712
2018,558,7711
2018,558,7710
2018,558,7709
2018,558,7708
2018,557,7707
2018,557,7706
2018,557,7705
2018,557,7704
2018,557,7703
2018,556,7702
2018,556,7701
2018,556,7700
2018,556,7699
2018,555,7698
2018,555,7697
2018,555,7696
2018,555,7695
2018,555,7694
2018,554,7693
2018,554,7692
2018,554,7691
2018,554,7690
2018,553,7689
2018,553,7688
2018,553,7687
2018,553,7686
2017,552,7685
2017,552,7684
2017,552,7683
2017,551,7682
2017,551,7681
2017,551,7680
2017,551,7679
2017,551,7678
2017,550,7677
2017,550,7676
2017,550,7675
2017,550,7674
2017,549,7673
2017,549,7672
2017,549,7671
2017,549,7670
2017,548,7669
2017,548,7668
2017,548,7667
2017,548,7666
2017,548,7665
2017,547,7664
2017,547,7663
2017,547,7662
2017,547,7661
2017,546,7660
2017,546,7659
2017,546,7658
2017,546,7657
2017,546,7656
2017,545,7655
2017,545,7654
2017,545,7653
2017,545,7652
2017,544,7651
2017,544,7650
2017,544,7649
2017,544,7648
2017,543,7647
2017,543,7646
2017,543,7645
2017,543,7644
2017,543,7643
2017,542,7642
2017,542,7641
2017,542,7640
2017,542,7639
2017,541,7638
2017,541,7637
2017,541,7636
2017,541,7635
2016,540,7634
2016,540,7633
2016,540,7632
2016,540,7631
2016,539,7630
2016,539,7629
2016,539,7628
2016,539,7627
2016,538,7626
2016,538,7625
2016,538,7624
2016,538,7623
2016,537,7622
2016,537,7621
2016,537,7620
2016,537,7619
2016,537,7618
2016,536,7617
2016,536,7616
2016,536,7615
2016,536,7614
2016,535,7613
2016,535,7612
2016,535,7611
2016,535,7610
2016,534,7609
2016,534,7608
2016,534,7607
2016,534,7606
2016,534,7605
2016,533,7604
2016,533,7603
2016,533,7602
2016,533,7601
2016,532,7600
2016,532,7599
2016,532,7598
2016,532,7597
2016,531,7596
2016,531,7595
2016,531,7594
2016,531,7593
2016,531,7592
2016,530,7591
2016,530,7590
2016,530,7589
2016,530,7588
2016,529,7587
2016,529,7586
2016,529,7585
2016,529,7584
2015,528,7583
2015,528,7582
2015,528,7581
2015,528,7580
2015,527,7579
2015,527,7578
2015,527,7577
2015,527,7576
2015,526,7575
2015,526,7574
2015,526,7573
2015,526,7572
2015,526,7571
2015,525,7570
2015,525,7569
2015,525,7568
2015,525,7567
2015,524,7566
2015,524,7565
2015,524,7564
2015,524,7563
2015,523,7562
2015,523,7561
2015,523,7560
2015,523,7559
2015,523,7558
2015,522,7557
2015,522,7556
2015,522,7555
2015,522,7554
2015,521,7553
2015,521,7552
2015,521,7551
2015,521,7550
2015,520,7549
2015,520,7548
2015,520,7547
2015,520,7546
2015,520,7545
2015,519,7544
2015,519,7543
2015,519,7542
2015,519,7541
2015,518,7540
2015,518,7539
2015,518,7538
2015,518,7537
2015,517,7536
2015,517,7535
2015,517,7534
2015,517,7533
2015,517,7532
2014,516,7531
2014,516,7530
2014,516,7529
2014,515,7528
2014,515,7527
2014,515,7526
2014,515,7525
2014,514,7524
2014,514,7523
2014,514,7522
2014,514,7521
2014,514,7520
2014,513,7519
2014,513,7518
2014,513,7517
2014,513,7516
2014,512,7515
2014,512,7514
2014,512,7513
2014,512,7512
2014,511,7511
2014,511,7510
2014,511,7509
2014,511,7508
2014,511,7507
2014,510,7506
2014,510,7505
2014,510,7504
2014,510,7503
2014,509,7502
2014,509,7501
2014,509,7500
2014,509,7499
2014,509,7498
2014,508,7497
2014,508,7496
2014,508,7495
2014,508,7494
2014,507,7493
2014,507,7492
2014,507,7491
2014,507,7490
2014,506,7489
2014,506,7488
2014,506,7487
2014,506,7486
2014,505,7485
2014,505,7484
2014,505,7483
2014,505,7482
2014,505,7481
2013,504,7480
2013,504,7479
2013,504,7478
2013,503,7477
2013,503,7476
2013,503,7475
2013,503,7474
2013,502,7473
2013,502,7472
2013,502,7471
2013,502,7470
2013,502,7469
2013,501,7468
2013,501,7467
2013,501,7466
2013,501,7465
2013,500,7464
2013,500,7463
2013,500,7462
2013,500,7461
2013,500,7460
2013,499,7459
2013,499,7458
2013,499,7457
2013,499,7456
2013,498,7455
2013,498,7454
2013,498,7453
2013,498,7452
2013,497,7451
2013,497,7450
2013,497,7449
2013,497,7448
2013,497,7447
2013,496,7446
2013,496,7445
2013,496,7444
2013,496,7443
2013,495,7442
2013,495,7441
2013,495,7440
2013,495,7439
2013,494,7438
2013,494,7437
2013,494,7436
2013,494,7435
2013,493,7434
2013,493,7433
2013,493,7432
2013,493,7431
2013,493,7430
2012,492,7429
2012,492,7428
2012,492,7427
2012,491,7426
2012,491,7425
2012,491,7424
2012,491,7423
2012,491,7422
2012,490,7421
2012,490,7420
2012,490,7419
2012,490,7418
2012,489,7417
2012,489,7416
2012,489,7415
2012,489,7414
2012,488,7413
2012,488,7412
2012,488,7411
2012,488,7410
2012,488,7409
2012,487,7408
2012,487,7407
2012,487,7406
2012,487,7405
2012,486,7404
2012,486,7403
2012,486,7402
2012,486,7401
2012,485,7400
2012,485,7399
2012,485,7398
2012,485,7397
2012,485,7396
2012,484,7395
2012,484,7394
2012,484,7393
2012,484,7392
2012,483,7391
2012,483,7390
2012,483,7389
2012,483,7388
2012,483,7387
2012,482,7386
2012,482,7385
2012,482,7384
2012,482,7383
2012,481,7382
2012,481,7381
2012,481,7380
2012,481,7379
2011,480,7378
2011,480,7377
2011,480,7376
2011,480,7375
2011,479,7374
2011,479,7373
2011,479,7372
2011,479,7371
2011,478,7370
2011,478,7369
2011,478,7368
2011,478,7367
2011,477,7366
2011,477,7365
2011,477,7364
2011,477,7363
2011,477,7362
2011,476,7361
2011,476,7360
2011,476,7359
2011,476,7358
2011,475,7357
2011,475,7356
2011,475,7355
2011,475,7354
2011,474,7353
2011,474,7352
2011,474,7351
2011,474,7350
2011,474,7349
2011,473,7348
2011,473,7347
2011,473,7346
2011,473,7345
2011,472,7344
