year,volume,issue,article_id,section,title,author_seq,affiliation
1975,258,5537,/articles/258653a0,Opinion,New era of firmer control in French science,,
1975,258,5537,/articles/258654a0,News,A justifiable case for support?,1,
1975,258,5537,/articles/258655a0,News,Nessiteras skeptyx,,
1975,258,5537,/articles/258656a0,InternationalNews,Exit the Dragon?,1,
1975,258,5537,/articles/258656b0,InternationalNews,University money plea,,
1975,258,5537,/articles/258657a0,InternationalNews,Cottrell call for coal,,
1975,258,5537,/articles/258657b0,InternationalNews,EEC diary,,
1975,258,5537,/articles/258658a0,InternationalNews,Washington seen,1,
1975,258,5537,/articles/258659a0,NewsandViews,Antarctic jigsaws,1,
1975,258,5537,/articles/258659b0,NewsandViews,Membrane-bound tubulin: fact or artefact?,1,
1975,258,5537,/articles/258660a0,NewsandViews,QSO redshifts and the steady state cosmology,2,
1975,258,5537,/articles/258660b0,NewsandViews,Lasers and the Lamb shift,1,
1975,258,5537,/articles/258661a0,NewsandViews,A hundred years ago,,
1975,258,5537,/articles/258661b0,NewsandViews,Heat flow on different scales,1,
1975,258,5537,/articles/258662a0,NewsandViews,The nucleolus on the Black Sea,,
1975,258,5537,/articles/258663a0,NewsandViews,A most Friendly meeting,2,
1975,258,5537,/articles/258663b0,NewsandViews,Astronomy from the Space Shuttle,1,
1975,258,5537,/articles/258665a0,ReviewArticle,Quantitative variation and gene number,1,"grid.266900.b, 0000 0004 0447 0018, Department of Zoology, University of Oklahoma, Norman, Oklahoma, 73069"
1975,258,5537,/articles/258668a0,Article,Metamorphic belt and volcanic arc migration in New Zealand,1,"grid.21006.35, 0000 0001 2179 1970, Department of Geology, University of Canterbury, Christchurch, New Zealand"
1975,258,5537,/articles/258672a0,Article,Summer phytoplankton blooms and red tides along tidal fronts in the approaches to the English Channel,4,"grid.14335.30, 0000000109430996, Marine Biological Association of the United Kingdom, Plymouth, UK"
1975,258,5537,/articles/258677a0,Article,Models for metal ion function in carbonic anhydrase,1,"grid.418140.8, 0000 0001 2104 4211, Max-Planck Institute for Biophysical Chemistry, 34, GttingenNikolausberg, West Germany"
1975,258,5537,/articles/258682a0,Article,Conservation of cytoplasmic poly(A)-containing RNA in mouse and rat,3,"grid.4305.2, 0000 0004 1936 7988, Medical Research Council Mammalian Genome Unit, Department of Zoology, University of Edinburgh, West Mains Road, Edinburgh, EH9 3JT, UK"
1975,258,5537,/articles/258686a0,Letter,Size distribution of cosmic gamma-ray bursts,4,"grid.7445.2, 0000 0001 2113 8111, Blackett Laboratory, Imperial College, London, SW7 2AZ, UK"
1975,258,5537,/articles/258687a0,Letter,Cosmic ray streaming,1,"grid.5335.0, 0000000121885934, Department of Applied Mathematics and Theoretical Physics, Silver Street, Cambridge, CB3 9EW, UK"
