year,volume,issue,article_id,content,section,title,authors_list,author,author_sequence,symbol
1975,187,4171,/content/187/4171/13.1,,Letters,Energy Production and Climate,By Philip F. Palmedo,Philip F. Palmedo,,
1975,187,4171,/content/187/4171/13.2,,Letters,Letters to the Editor,"By Stephen H. Schneider, Warren M. Washington","Stephen H. Schneider, Warren M. Washington",,
1975,187,4171,/content/187/4171/13.3,,Letters,Agricultural Aid to Indochina,By R. P. Bosshart,R. P. Bosshart,,
1975,187,4171,/content/187/4171/14.1,,Letters,Marine Faunal Areas,By John C. Briggs,John C. Briggs,,
1975,187,4171,/content/187/4171/14.2,,Letters,The Big Horn Medicine Wheel,By Thomas H. Lewis,Thomas H. Lewis,,
1975,187,4171,/content/187/4171/15,,Letters,Letters to the Editor,By John R. Cole,John R. Cole,,
1975,187,4171,/content/187/4171/17,,Editorial,Delays in Tapping Energy Sources,By Philip H. Abelson,Philip H. Abelson,,
1975,187,4171,/content/187/4171/19,,Articles,Reactions of Organ Crystals with Gases,"By Iain C. Paul, David Y. Curtin",Iain C. Paul,1,1
1975,187,4171,/content/187/4171/19,,Articles,Reactions of Organ Crystals with Gases,"By Iain C. Paul, David Y. Curtin",David Y. Curtin,2,1
1975,187,4171,/content/187/4171/27,,Articles,Genetic regulation: the Lac control region,"By RC Dickson, J Abelson, WM Barnes, WS Reznikoff",RC Dickson,1,
1975,187,4171,/content/187/4171/27,,Articles,Genetic regulation: the Lac control region,"By RC Dickson, J Abelson, WM Barnes, WS Reznikoff",J Abelson,2,
1975,187,4171,/content/187/4171/27,,Articles,Genetic regulation: the Lac control region,"By RC Dickson, J Abelson, WM Barnes, WS Reznikoff",WM Barnes,3,
1975,187,4171,/content/187/4171/27,,Articles,Genetic regulation: the Lac control region,"By RC Dickson, J Abelson, WM Barnes, WS Reznikoff",WS Reznikoff,4,
1975,187,4171,/content/187/4171/35,,Articles,Science Advice in the White House? Continuation of a Debate,"By Eugene B. Skolnikoff, Harvey Brooks",Eugene B. Skolnikoff,1,1
1975,187,4171,/content/187/4171/35,,Articles,Science Advice in the White House? Continuation of a Debate,"By Eugene B. Skolnikoff, Harvey Brooks",Harvey Brooks,2,2
1975,187,4171,/content/187/4171/42,,News & Comment,"In Energy Impasse, Conservation Keeps Popping Up",By Robert Gillette,Robert Gillette,,
1975,187,4171,/content/187/4171/44,,News & CommentBriefing,Rocky Eyes Science Advice,By D. S.,D. S.,,
1975,187,4171,/content/187/4171/45,,News & Comment,"The Environment, a ""Mature%"" Cause in Need of a Lift",By Luther J. Carter,Luther J. Carter,,
1975,187,4171,/content/187/4171/47,,News & Comment,FAS Attacks Politicization of NIH,By Barbara J. Culliton,Barbara J. Culliton,,
1975,187,4171,/content/187/4171/48,,News & Comment,"Congress Gets on with Reform, Seeks to Reassert Itself",By John Walsh,John Walsh,,
1975,187,4171,/content/187/4171/49,,News & Comment,RECENT DEATHS,,,,
1975,187,4171,/content/187/4171/50,,Research News,Sociobiology (I): Models of Social Behavior,By Gina Bari Kolata,Gina Bari Kolata,,
1975,187,4171,/content/187/4171/52,,Association AffairsAAAS News,Office of Science and Society Programs,,,,
1975,187,4171,/content/187/4171/53,,Book Reviews,Book Reviews,,,,
1975,187,4171,/content/187/4171/56,,Book Reviews,Books Received,,,,
1975,187,4171,/content/187/4171/57,,Reports,Soapstone Artifacts: Tracing Prehistoric Trade Patterns in Virgimna,"By Alvin H. Luckenbach, C. G. Holland, Ralph O. Allen",Alvin H. Luckenbach,1,1
1975,187,4171,/content/187/4171/57,,Reports,Soapstone Artifacts: Tracing Prehistoric Trade Patterns in Virgimna,"By Alvin H. Luckenbach, C. G. Holland, Ralph O. Allen",C. G. Holland,2,1
1975,187,4171,/content/187/4171/57,,Reports,Soapstone Artifacts: Tracing Prehistoric Trade Patterns in Virgimna,"By Alvin H. Luckenbach, C. G. Holland, Ralph O. Allen",Ralph O. Allen,3,2
1975,187,4171,/content/187/4171/59,,Reports,Atmospheric Trace Metals at Remote Northern and Southern Hemisphere Sites: Pollution or Natural?,"By Robert A. Duce, Gerald L. Hoffman, William H. Zoller",Robert A. Duce,1,1
